Ingredients,Description,Categories,Fragrances,Rating
benzothonium chloride,Compound used as a preservative in cosmetics. It is generally considered less sensitizing… ,Preservatives ,N/A,Good
benzoyl peroxide,Benzoyl peroxide is considered the most effective over-the-counter topical acne treatment. Learn more. ,Anti-Acne ,N/A,Best
benzyl alcohol,"An organic alcohol that occurs naturally in some fruits (apricots, cranberries) and teas. ",Preservatives ,N/A,Good
benzyl salicylate,"A volatile fragrance chemical with a sweet, floral odor used to impart scent to cosmetic products and perfumes. ",,Synthetic and Fragrant Plant Extracts ,Poor
Berberis aristata,None,"Plant Extracts, Antioxidants ",N/A,Best
bergamot oil,"A volatile citrus oil that, when used topically, is a photosensitizer... ",Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Bertholletia excelsa extract,None,"Antioxidants, Plant Extracts ",N/A,Good
beta-carotene,"Member of the carotenoid family. There are hundreds of carotenoids, including lycopene and lutein.... ",Antioxidants ,N/A,Good
beta-glucan,Polysaccharide sugar derived from yeast or oats. It has some antioxidant properties and is a skin-soothing agent. ,"Skin-Soothing, Antioxidants ",N/A,Best
beta hydroxy acid,None,"Skin-Soothing, Antioxidants, Exfoliant ",N/A,Best
betaine salicylate,An ingredient derived from sugar beets that is sometimes used as an alternative to... ,Exfoliant ,N/A,Good
beta-sitosterol,"Beta-sitosterol is a fatty acid-type ingredient derived from plants, and is similar to cholesterol... ","Skin-Soothing, Plant Extracts, Skin-Replenishing ",N/A,Best
Beta vulgaris root extract,None,"Antioxidants, Coloring Agents/Pigments, Plant Extracts ",N/A,Good
Betula alba,None,"Antioxidants, Plant Extracts ",N/A,Good
BHA (beta hydroxy acid),"BHA, or beta hydroxy acid, is more commonly known as salicylic acid. ","Skin-Soothing, Exfoliant, Anti-Acne ",N/A,Best
BHT,"Butylated hydroxytoluene, a potent synthetic antioxidant that also has negative properties when... ",Antioxidants ,N/A,Average
bifida ferment lysate,A specific type of yeast obtained by the fermentation of Bifida... ,Miscellaneous ,N/A,Good
bilberry extract,Some research shows bilberry (vaccinium myrtillis) to be effective as an antioxidant when ingested... ,Plant Extracts ,N/A,Good
bioflavonoid,Diverse range of substances that are components of many fruits and vegetables. Many have been shown... ,Antioxidants ,N/A,Best
biotin,A water-soluble substance produced in the body by certain types of... ,Vitamins ,N/A,Good
birch bark extract,Extract derived from the plant Betula alba (common name white birch). It can have potent... ,"Antioxidants, Plant Extracts ",N/A,Good
birch leaf extract,None,"Antioxidants, Plant Extracts ",N/A,Good
bisabolol,Can be extracted from chamomile or derived synthetically. It is an anti-irritant. ,"Skin-Soothing, Plant Extracts ",N/A,Best
