Ingredients,Description,Categories,Fragrances,Rating
broad spectrum,"Term that, when applied to sunscreen, refers to a sunscreen’s ability to protect the skin from both... ",Sunscreen Actives ,N/A,Good
bromelain,"Bromelain is an extract from the pineapple that contains, among other components, various... ","Plant Extracts, Exfoliant ",N/A,Good
bronopol,"Technical name 2-bromo-2-nitropropane-1,3-diol, a formaldehyde-releasing preservative (Source:... ",Preservatives ,N/A,Poor
bronze powder,Mineral coloring agent derived from copper. Permanently listed (since 1977) by the FDA as a safe... ,Coloring Agents/Pigments ,N/A,Good
Buddleja davidii extract,Plant also known as summer lilac or butterfly bush (because the flowers are a food source for... ,"Antioxidants, Plant Extracts ",N/A,Best
bumetrizole,Sunscreen ingredient that absorbs primarily UVB light. ,Sunscreen Actives ,N/A,Good
Bupleurum falcatum extract,A plant used in Chinese medicine for a varitety of ailments ranging from the common cold to liver... ,Plant Extracts ,N/A,Average
burdock root,Plant extract whose active constituents are skin soothing and antioxidant… ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
butyl acetate,Solvent used in nail polish and many other products. ,"Film-Forming Agents, Texture Enhancer ",N/A,Good
butylene glycol,"Commonly-used ingredient that has multiple functions in cosmetics, including.... ",Texture Enhancer ,N/A,Good
butyl methoxydibenzoylmethane,None,Sunscreen Actives ,N/A,Best
butylparaben,Parabens are a group of controversial preservatives that include butylparaben... ,Preservatives ,N/A,Good
butylphenyl methylpropional,Synthetic fragrance ingredient with a strong floral scent. ,,Synthetic and Fragrant Plant Extracts ,Poor
Butyrospermum fruit,"Fruit from the karite tree, scientific name Butyrospermum parkii, from which the fat is obtained to... ","Plant Extracts, Emollients ",N/A,Best
Butyrospermum parkii,None,"Plant Extracts, Emollients, Skin-Replenishing ",N/A,Best
Butyrosperum parkii (shea) butter extract,Butyrosperum parkii (shea) butter extract doesn’t just have a rich texture; it’s also a rich source of antioxidants and replenishing antioxidants. ,"Emollients, Antioxidants, Plant Extracts ",N/A,Best
Buxus chinensis,None,"Plant Extracts, Skin-Replenishing, Emollients ",N/A,Best
C10-30 cholesterol/lanosterol esters,Blend of cholesterol and fatty acid ester from lanolin. Functions as a skin conditioning agent. ,Emollients ,N/A,Best
C11-15 pareth-7,"C11-15 pareth-7 is a lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant. ","Cleansing Agents, Emulsifiers ",N/A,Good
C12-15 alkyl benzoate,Synthetic ingredient used as an emollient and texture enhancing agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
C12-16 pareth-9,"C12-16 pareth-9 is a lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant. ","Cleansing Agents, Emulsifiers ",N/A,Good
C12-18 acid triglyceride,Used as an emollient and thickening agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
C13-14 isoparaffin,A petroleum-derived ingredient whose wax-like texture functions as a thickening or gelling agent. ,Texture Enhancer ,N/A,Good
C18-36 acid triglyceride,Used as an emollient and thickening agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
C20-40 pareth-40,Mixture of polyethylene glycols of various molecular weight that can function as stabilizing... ,Cleansing Agents ,N/A,Good
caffeic acid,Antioxidant that has multiple benefits for skin… ,Antioxidants ,N/A,Best
caffeine,Caffeine is the chief stimulant in beverages such as coffee and tea. It’s often included in skincare products with claims... ,"Antioxidants, Plant Extracts ",N/A,Average
cajeputi oil,None,Plant Extracts ,N/A,Poor
calamine,"Preparation of zinc carbonate, colored with ferric oxide (a form of rust). Zinc carbonate is a... ",Sensitizing ,N/A,Poor
calcium ascorbate,"Form of vitamin C; other forms include ascorbic acid, L-ascorbic acid, ascorbyl palmitate, and... ","Antioxidants, Vitamins ",N/A,Best
calcium carbonate,Chalk; used as an absorbent in cosmetics. ,Absorbent ,N/A,Good
calcium d-pantetheine-s-sulfonate,None,Vitamins ,N/A,Good
calcium gluconate,Calcium is an essential mineral for the body. A small amount of research shows calcium gluconate... ,Skin-Soothing ,N/A,Good
calcium pantothenate,Also known as pantothenic acid. ,Vitamins ,N/A,Good
calendula extract,"Extract derived from the plant commonly known as pot marigold, there is little research showing... ","Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
Calendula officinalis flower extract,None,"Antioxidants, Plant Extracts ",N/A,Good
Calluna vulgaris flower extract,"Also known as heather extract, this plant has skin-soothing properties... ","Skin-Soothing, Plant Extracts ",N/A,Best
Calophyllum inophyllum seed oil,None,Plant Extracts ,N/A,Good
Camellia japonica,The leaf has been shown to be an antioxidant... ,"Antioxidants, Plant Extracts ",N/A,Best
Camellia oleifera,None,"Antioxidants, Plant Extracts ",N/A,Best
Camellia sinensis,None,"Antioxidants, Plant Extracts ",N/A,Best
camphor,"Aromatic substance obtained from the wood of a tree common to Southeast Asia, Cinnamomum camphora,... ",Plant Extracts ,N/A,Poor
cananga extract,"Fragrance used in cosmetics; it can be sensitizing to skin, much like ylang ylang. ",Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Cananga odorata,None,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
candelilla/jojoba/rice bran polyglyceryl-3 esters,"A natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax... ",Thickeners/Emulsifiers ,N/A,Best
candelilla wax,Extract derived from candelilla plants; used as a thickening agent and emollient to give products... ,"Plant Extracts, Emollients, Texture Enhancer ",N/A,Good
Cannabis sativa L. oil,Plant lipid that has skin restoring and soothing properties… ,"Plant Extracts, Emollients ",N/A,Good
canola oil,A mixture of fatty acids caproic acid and phytosphingosine. ,"Skin-Soothing, Skin-Replenishing, Plant Extracts ",N/A,Best
caprooyl phytosphingosine,A mixture of fatty acids caproic acid and sphingosine. ,"Skin-Replenishing, Skin-Restoring ",N/A,Best
caprooyl sphingosine,A synthetic or plant-derived signal peptide that’s said to help to boost the...,"Skin-Replenishing, Skin-Restoring ",N/A,Best
caprooyl tetrapeptide-3,"Derived from coconut oil and glycerin, it’s considered an excellent emollient and skin-replenishing ingredient. ",Skin-Restoring ,N/A,Best
caprylic/capric triglyceride,A naturally-derived (coconut and castor oil) or synthetic ingredient... ,"Plant Extracts, Emollients, Texture Enhancer ",N/A,Best
capryloyl glycerin/sebacic acid copolymer,A synthetic amino acid derivative that function as a conditioning agent or...,"Film-Forming/Holding Agents, Texture Enhancer ",N/A,Good
capryloyl glycine,A synthetic ester blend of medium chain fatty acids and fatty alcohol that works as an emollient. ,Hydration ,N/A,Good
caprylyl caprylate/caprate,Skin and hair conditioning agent that may be plant-derived or synthetic. Often used as part of a... ,"Emollients, Skin-Softening ",N/A,Good
caprylyl glycol,"Component of capsicum. When used topically, capsaicin can prevent the transmission of pain. It is... ","Plant Extracts, Preservatives ",N/A,Good
caprylyl methicone,None,"Silicones, Emollients ",N/A,Good
capsaicin,"Large group of plants consisting primarily of the pepper family, including chili peppers and... ",Plant Extracts ,N/A,Poor
capsicum,Fatty resin derived from capsicum plants. It can be sensitizing to skin... ,Plant Extracts ,N/A,Poor
capsicum oleoresin,Natural coloring agent. ,Plant Extracts ,N/A,Poor
caramel,Group of thickening agents used primarily to create gel-like formulations. ,Coloring Agents/Pigments ,N/A,Good
carbomer,"Plant of the ginger family, used as fragrance in cosmetics. Terpene, one of its major constituents,... ",Texture Enhancer ,N/A,Good
carbopol,None,Texture Enhancer ,N/A,Good
carboxylic acid,None,Antioxidants ,N/A,Best
cardamom,Natural red color that comes from the dried female cochineal beetle. It is sometimes used to color... ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
carmine,"Natural, hard wax obtained from the leaves of palm trees. Used primarily as a thickening agent, but... ",Coloring Agents/Pigments ,N/A,Good
carnauba wax,Naturally occurring amino acid. Deficiencies of this small but essential component can result in... ,"Plant Extracts, Absorbent, Texture Enhancer ",N/A,Good
carnitine,Component of rosemary that is an antioxidant... ,Antioxidants ,N/A,Best
carnosic acid,"Composed of amino acids, it has soothing and antioxidant properties... ","Antioxidants, Plant Extracts ",N/A,Best
carnosine,Seaweed gum used in cosmetics as a thickening agent with water-binding properties. ,"Antioxidants, Plant Extracts ",N/A,Best
carnosol acid,None,"Antioxidants, Plant Extracts ",N/A,Best
carrageenan,Emollient plant oil similar to other nonfragrant plant oils. ,"Plant Extracts, Texture Enhancer ",N/A,Good
carrot oil,Essential oil used as a flavoring agent and fragrance component in cosmetics. It can be a... ,"Plant Extracts, Skin-Replenishing, Emollients ",N/A,Best
Carthamus tinctorius oil,None,"Plant Extracts, Emollients ",N/A,Best
carvone,Substance derived from milk protein that may have some antioxidant properties when applied... ,,Synthetic and Fragrant Plant Extracts ,Poor
Carya illinoensis oil,None,"Plant Extracts, Emollients ",N/A,Good
casein,"A mix of esters formed by the reaction of castor seed oil, isostearic acid, and succinic acid. This ingredient functions... ",Uncategorized ,N/A,Good
Castanea sativa seed extract,None,Plant Extracts ,N/A,Good
castor isostearate succinate,"Vegetable oil derived from the castor bean. It is used in cosmetics as an emollient, though its... ",Emollients ,N/A,Good
castor oil,Enzyme that decomposes hydrogen peroxide into water and oxygen and that has significant antioxidant... ,"Plant Extracts, Emollients ",N/A,Good
catalase,Fragrant plant extract. There is evidence that cedarwood oil is sensitizing... ,Antioxidants ,N/A,Best
Caulerpa taxifolia extract,None,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts ",N/A,Good
cedarwood,Fragrant oil that can aggravate skin... ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
Cedrus atlantica bark extract,Primary fiber component of plants. Used in cosmetics as a thickening agent and to bind other... ,,Synthetic and Fragrant Plant Extracts ,Poor
cellulose,Any of various fibrous substances derived from plants. Cellulose gum is a natural ingredient.. ,"Plant Extracts, Texture Enhancer ",N/A,Good
Cellulose gum,"Extract of herb that may be listed on labels as asiatic acid, hydrocotyl, or gotu kola. It has... ","Plant Extracts, Texture Enhancer ",N/A,Good
Centaurea cyanus,None,"Skin-Soothing, Plant Extracts ",N/A,Best
Centella asiatica,Phospholipid. ,"Skin-Soothing, Antioxidants ",N/A,Best
cephalin,See beeswax... ,"Texture Enhancer, Emollients ",N/A,Best
Cera alba,One of several types of ceramides. ,Texture Enhancer ,N/A,Good
cera microcristallina,None,Emollients ,N/A,Good
ceramide AP,None,Skin-Replenishing ,N/A,Best
ceramide EOP,None,Skin-Replenishing ,N/A,Best
ceramide EOS,None,Skin-Replenishing ,N/A,Best
ceramide NG,None,Skin-Replenishing ,N/A,Best
ceramide NP,"Ceramides are naturally occurring, long chains of lipids (fats) that are major components of skin’s outer... ",Skin-Replenishing ,N/A,Best
ceramide NS,None,Skin-Replenishing ,N/A,Best
ceramides,"Derived from clay, ceresin is a waxy ingredient used as a thickening agent in cosmetics. It can be... ","Skin-Restoring, Skin-Replenishing ",N/A,Best
ceresin,Fatty alcohol that is used to thicken cosmetics and keep ingredients mixed together and stable. ,Texture Enhancer ,N/A,Good
ceteareth-20,A fatty alcohol that functions as an emulsifier and surfactant in cosmetics. ,Texture Enhancer ,N/A,Good
ceteareth-25,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other... ","Emulsifiers, Texture Enhancer ",N/A,Good
cetearyl alcohol,Oil-like liquid that functions as an emollient to prevent skin from losing moisture. Also... ,"Texture Enhancer, Emollients ",N/A,Good
cetearyl ethylhexanoate,A blend of cetearyl alcohol and glucose that functions as an emulsifier. ,"Texture Enhancer, Emollients ",N/A,Good
cetearyl glucoside,A mixture of cetyl alcohol and acetic acid used as a skin-replenishing agent and emollient. ,Texture Enhancer ,N/A,Good
cetearyl octanoate,None,"Texture Enhancer, Skin-Replenishing, Emollients ",N/A,Good
cetyl acetate,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other... ",Emollients ,N/A,Good
cetyl alcohol,Silicone polymer that functions as skin-conditioning agent. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
cetyl dimethicone,Synthetic wax used in cosmetics as a thickening agent and emollient. ,Silicones ,N/A,Good
cetyl dimethicone copolyol,None,"Silicones, Emollients ",N/A,Good
cetyl esters,A mixture of cetyl alcohol and Hydroxyethylcellulose. It functions as thickener and stabilizing... ,"Texture Enhancer, Emollients ",N/A,Good
cetyl hydroxyethylcellulose,"The ester of cetyl palmitate and palmitic acid, this thickener and emollient helps smooth and condition dry skin while preventing moisture loss. ","Texture Enhancer, Emollients ",N/A,Good
cetyl palmitate,Silicone that functions as a skin-conditioning agent and emulsifier. ,Emollients ,N/A,Good
cetyl PEG/PPG-10/1-dimethicone,"Ingredient derived from plant species Chamomilla recutita, Matricaria recutita, and Matricaria chamomilla... ","Texture Enhancer, Silicones ",N/A,Good
chamomile,Primarily carbon substance formed by charring organic material in absence of oxygen. One... ,"Antioxidants, Plant Extracts ",N/A,Best
Chamomilla recutita flower extract,None,"Antioxidants, Plant Extracts ",N/A,Best
charcoal,Primarily carbon substance formed by charring organic material in absence of oxygen... ,Absorbent ,N/A,Good
charcoal powder,"Any of numerous ingredients that bind with metal ions or metallic compounds, preventing them from... ",Absorbent ,N/A,Good
chelating agent,"Also known as wild cherry and sweet cherry, this fruit is a natural source of vitamin C and... ",Uncategorized ,N/A,Good
cherry extract,"Derived from chitin, a polysaccharide found in the exoskeletons of shrimp, lobster, and crabs. It... ",Plant Extracts,Synthetic and Fragrant Plant Extracts ,Average
